MonitoringLocation,SampleDate,Depth,Layer,Parameter,MeasureValue,Unit,Latitude,Longitude
CB3.2,1/28/16,0.5,AP,SALINITY,9.4,PPT,39.08397,-76.18145
CB3.2,1/28/16,0.5,AP,WTEMP,1.8,DEG C,39.08397,-76.18145
CB3.2,1/28/16,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,1/28/16,0.5,S ,SALINITY,9.4,PPT,39.08397,-76.18145
CB3.2,1/28/16,0.5,S ,WTEMP,1.8,DEG C,39.08397,-76.18145
CB3.2,1/6/93,0.5,S ,PH,7.5,SU,39.08397,-76.18145
CB3.2,1/6/93,0.5,S ,SALINITY,3.53,PPT,39.08397,-76.18145
CB3.2,1/6/93,0.5,S ,WTEMP,4.3,DEG C,39.08397,-76.18145
CB3.2,1/7/87,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,1/7/87,0.5,S ,SALINITY,8.28,PPT,39.08397,-76.18145
CB3.2,1/7/87,0.5,S ,WTEMP,3.6,DEG C,39.08397,-76.18145
CB3.2,1/7/94,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,1/7/94,0.5,S ,SALINITY,8.31,PPT,39.08397,-76.18145
CB3.2,1/7/94,0.5,S ,WTEMP,1.8,DEG C,39.08397,-76.18145
CB3.2,1/8/86,0.5,S ,PH,7.3,SU,39.08397,-76.18145
CB3.2,1/8/86,0.5,S ,SALINITY,5.28,PPT,39.08397,-76.18145
CB3.2,1/8/86,0.5,S ,WTEMP,0.7,DEG C,39.08397,-76.18145
CB3.2,1/8/92,0.5,S ,PH,8,SU,39.08397,-76.18145
CB3.2,1/8/92,0.5,S ,SALINITY,11.15,PPT,39.08397,-76.18145
CB3.2,1/8/92,0.5,S ,WTEMP,5,DEG C,39.08397,-76.18145
CB3.2,1/9/02,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,1/9/02,0.5,S ,SALINITY,13.93,PPT,39.08397,-76.18145
CB3.2,1/9/02,0.5,S ,WTEMP,3.5,DEG C,39.08397,-76.18145
CB3.2,1/9/91,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,1/9/91,0.5,S ,SALINITY,5.57,PPT,39.08397,-76.18145
CB3.2,1/9/91,0.5,S ,WTEMP,3.9,DEG C,39.08397,-76.18145
CB3.2,10/10/84,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/10/84,0.5,S ,SALINITY,11.08,PPT,39.08397,-76.18145
CB3.2,10/10/84,0.5,S ,WTEMP,16.9,DEG C,39.08397,-76.18145
CB3.2,10/10/84,0.5,AP,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/10/84,0.5,AP,SALINITY,11.08,PPT,39.08397,-76.18145
CB3.2,10/10/84,0.5,AP,WTEMP,16.9,DEG C,39.08397,-76.18145
CB3.2,10/10/96,0.5,S ,PH,8,SU,39.08397,-76.18145
CB3.2,10/10/96,0.5,S ,SALINITY,4.6,PPT,39.08397,-76.18145
CB3.2,10/10/96,0.5,S ,WTEMP,17.2,DEG C,39.08397,-76.18145
CB3.2,10/11/89,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/11/89,0.5,S ,SALINITY,10.24,PPT,39.08397,-76.18145
CB3.2,10/11/89,0.5,S ,WTEMP,16.3,DEG C,39.08397,-76.18145
CB3.2,10/12/00,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/12/00,0.5,S ,SALINITY,9.59,PPT,39.08397,-76.18145
CB3.2,10/12/00,0.5,S ,WTEMP,15.4,DEG C,39.08397,-76.18145
CB3.2,10/13/94,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/13/94,0.5,S ,SALINITY,8.82,PPT,39.08397,-76.18145
CB3.2,10/13/94,0.5,S ,WTEMP,16.5,DEG C,39.08397,-76.18145
CB3.2,10/14/04,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/14/04,0.5,S ,SALINITY,5.82,PPT,39.08397,-76.18145
CB3.2,10/14/04,0.5,S ,WTEMP,18,DEG C,39.08397,-76.18145
CB3.2,10/14/93,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/14/93,0.5,S ,SALINITY,11.54,PPT,39.08397,-76.18145
CB3.2,10/14/93,0.5,S ,WTEMP,15.8,DEG C,39.08397,-76.18145
CB3.2,10/15/13,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/15/13,0.5,S ,SALINITY,7.12,PPT,39.08397,-76.18145
CB3.2,10/15/13,0.5,S ,WTEMP,18.4,DEG C,39.08397,-76.18145
CB3.2,10/15/98,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/15/98,0.5,S ,SALINITY,10.69045,PPT,39.08397,-76.18145
CB3.2,10/15/98,0.5,S ,WTEMP,18,DEG C,39.08397,-76.18145
CB3.2,10/16/91,0.5,S ,PH,7.4,SU,39.08397,-76.18145
CB3.2,10/16/91,0.5,S ,SALINITY,11.61,PPT,39.08397,-76.18145
CB3.2,10/16/91,0.5,S ,WTEMP,16.7,DEG C,39.08397,-76.18145
CB3.2,10/17/07,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,10/17/07,0.5,S ,SALINITY,14.06,PPT,39.08397,-76.18145
CB3.2,10/17/07,0.5,S ,WTEMP,20,DEG C,39.08397,-76.18145
CB3.2,10/17/12,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,10/17/12,0.5,S ,SALINITY,13.06,PPT,39.08397,-76.18145
CB3.2,10/17/12,0.5,S ,WTEMP,17.1,DEG C,39.08397,-76.18145
CB3.2,10/17/90,0.5,S ,PH,7.4,SU,39.08397,-76.18145
CB3.2,10/17/90,0.5,S ,SALINITY,5.69,PPT,39.08397,-76.18145
CB3.2,10/17/90,0.5,S ,WTEMP,20.4,DEG C,39.08397,-76.18145
CB3.2,10/17/97,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/17/97,0.5,S ,SALINITY,12.26,PPT,39.08397,-76.18145
CB3.2,10/17/97,0.5,S ,WTEMP,18.2,DEG C,39.08397,-76.18145
CB3.2,10/18/01,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/18/01,0.5,S ,SALINITY,10.56,PPT,39.08397,-76.18145
CB3.2,10/18/01,0.5,S ,WTEMP,15.8,DEG C,39.08397,-76.18145
CB3.2,10/18/02,0.5,S ,PH,7.4,SU,39.08397,-76.18145
CB3.2,10/18/02,0.5,S ,SALINITY,10.24,PPT,39.08397,-76.18145
CB3.2,10/18/02,0.5,S ,WTEMP,16.5,DEG C,39.08397,-76.18145
CB3.2,10/18/06,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,10/18/06,0.5,S ,SALINITY,9.01,PPT,39.08397,-76.18145
CB3.2,10/18/06,0.5,S ,WTEMP,16.5,DEG C,39.08397,-76.18145
CB3.2,10/18/95,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,10/18/95,0.5,S ,SALINITY,14.06,PPT,39.08397,-76.18145
CB3.2,10/18/95,0.5,S ,WTEMP,18.1,DEG C,39.08397,-76.18145
CB3.2,10/19/11,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,10/19/11,0.5,S ,SALINITY,1.51,PPT,39.08397,-76.18145
CB3.2,10/19/11,0.5,S ,WTEMP,16.8,DEG C,39.08397,-76.18145
CB3.2,10/19/16,0.5,S ,PH,8.1,SU,39.08397,-76.18145
CB3.2,10/19/16,0.5,S ,SALINITY,14.6,PPT,39.08397,-76.18145
CB3.2,10/19/16,0.5,S ,WTEMP,19.5,DEG C,39.08397,-76.18145
CB3.2,10/19/18,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,10/19/18,0.5,S ,SALINITY,0.75,PPT,39.08397,-76.18145
CB3.2,10/19/18,0.5,S ,WTEMP,16.6,DEG C,39.08397,-76.18145
CB3.2,10/19/88,0.5,AP,PH,7.8,SU,39.08397,-76.18145
CB3.2,10/19/88,0.5,AP,SALINITY,11.41,PPT,39.08397,-76.18145
CB3.2,10/19/88,0.5,AP,WTEMP,14.4,DEG C,39.08397,-76.18145
