MonitoringLocation,SampleDate,Depth,Layer,Parameter,MeasureValue,Unit,Latitude,Longitude
CB5.2,9/24/03,0.5,S ,SALINITY,13.06,PPT,38.06568,-76.19446
CB5.2,9/24/03,0.5,S ,WTEMP,23.2,DEG C,38.06568,-76.19446
CB5.2,9/24/84,0.5,S ,PH,8,SU,38.06568,-76.19446
CB5.2,9/24/84,0.5,S ,SALINITY,15.88,PPT,38.06568,-76.19446
CB5.2,9/24/84,0.5,S ,WTEMP,23,DEG C,38.06568,-76.19446
CB5.2,9/24/90,0.5,S ,PH,7.9,SU,38.06568,-76.19446
CB5.2,9/24/90,0.5,S ,SALINITY,16.29,PPT,38.06568,-76.19446
CB5.2,9/24/90,0.5,S ,WTEMP,21.5,DEG C,38.06568,-76.19446
CB5.2,9/25/17,0.5,S ,PH,8.2,SU,38.06568,-76.19446
CB5.2,9/25/17,0.5,S ,SALINITY,14.6,PPT,38.06568,-76.19446
CB5.2,9/25/17,0.5,S ,WTEMP,25,DEG C,38.06568,-76.19446
CB5.2,9/25/18,0.5,S ,PH,8,SU,38.06568,-76.19446
CB5.2,9/25/18,0.5,S ,SALINITY,10.43,PPT,38.06568,-76.19446
CB5.2,9/25/18,0.5,S ,WTEMP,24.7,DEG C,38.06568,-76.19446
CB5.2,9/25/89,0.5,S ,PH,7.9,SU,38.06568,-76.19446
CB5.2,9/25/89,0.5,S ,SALINITY,14.93,PPT,38.06568,-76.19446
CB5.2,9/25/89,0.5,S ,WTEMP,22.8,DEG C,38.06568,-76.19446
CB5.2,9/26/94,0.5,S ,PH,8.1,SU,38.06568,-76.19446
CB5.2,9/26/94,0.5,S ,SALINITY,13.86,PPT,38.06568,-76.19446
CB5.2,9/26/94,0.5,S ,WTEMP,22.7,DEG C,38.06568,-76.19446
CB5.2,9/28/93,0.5,S ,PH,8,SU,38.06568,-76.19446
CB5.2,9/28/93,0.5,S ,SALINITY,16.9,PPT,38.06568,-76.19446
CB5.2,9/28/93,0.5,S ,WTEMP,22.8,DEG C,38.06568,-76.19446
CB5.2,9/3/91,0.5,S ,PH,7.9,SU,38.06568,-76.19446
CB5.2,9/3/91,0.5,S ,SALINITY,17.18,PPT,38.06568,-76.19446
CB5.2,9/3/91,0.5,S ,WTEMP,26,DEG C,38.06568,-76.19446
CB5.2,9/5/95,0.5,S ,PH,8.2,SU,38.06568,-76.19446
CB5.2,9/5/95,0.5,S ,SALINITY,17.18,PPT,38.06568,-76.19446
CB5.2,9/5/95,0.5,S ,WTEMP,25.7,DEG C,38.06568,-76.19446
CB5.2,9/6/88,0.5,S ,PH,8,SU,38.06568,-76.19446
CB5.2,9/6/88,0.5,S ,SALINITY,16.02,PPT,38.06568,-76.19446
CB5.2,9/6/88,0.5,S ,WTEMP,24.8,DEG C,38.06568,-76.19446
CB5.2,9/8/86,0.5,S ,PH,8.1,SU,38.06568,-76.19446
CB5.2,9/8/86,0.5,S ,SALINITY,16.15,PPT,38.06568,-76.19446
CB5.2,9/8/86,0.5,S ,WTEMP,23.1,DEG C,38.06568,-76.19446
CB5.2,9/8/92,0.5,S ,PH,8.1,SU,38.06568,-76.19446
CB5.2,9/8/92,0.5,S ,SALINITY,16.29,PPT,38.06568,-76.19446
CB5.2,9/8/92,0.5,S ,WTEMP,24.8,DEG C,38.06568,-76.19446
CB5.2,9/9/85,0.5,S ,PH,8.3,SU,38.06568,-76.19446
CB5.2,9/9/85,0.5,S ,SALINITY,17.11,PPT,38.06568,-76.19446
CB5.2,9/9/85,0.5,S ,WTEMP,27.9,DEG C,38.06568,-76.19446
CB5.2,9/9/96,0.5,S ,PH,8.2,SU,38.06568,-76.19446
CB5.2,9/9/96,0.5,S ,SALINITY,12.93,PPT,38.06568,-76.19446
CB5.2,9/9/96,0.5,S ,WTEMP,26,DEG C,38.06568,-76.19446
CB5.4,1/19/1999,1,S ,PH,7.59,SU,37.80013,-76.17466
CB5.4,1/19/1999,1,S ,SALINITY,19.37,PPT,37.80013,-76.17466
CB5.4,1/19/1999,1,S ,WTEMP,4.79,DEG C,37.80013,-76.17466
CB5.4,2/10/1999,1,S ,PH,7.73,SU,37.80013,-76.17466
CB5.4,2/10/1999,1,S ,SALINITY,15.72,PPT,37.80013,-76.17466
CB5.4,2/10/1999,1,S ,WTEMP,5.67,DEG C,37.80013,-76.17466
CB5.4,3/18/1999,1,S ,PH,7.92,SU,37.80013,-76.17466
CB5.4,3/18/1999,1,S ,SALINITY,15.72,PPT,37.80013,-76.17466
CB5.4,3/18/1999,1,S ,WTEMP,5.54,DEG C,37.80013,-76.17466
CB5.4,4/20/1999,1,S ,PH,7.92,SU,37.80013,-76.17466
CB5.4,4/20/1999,1,S ,SALINITY,13.72,PPT,37.80013,-76.17466
CB5.4,4/20/1999,1,S ,WTEMP,12.51,DEG C,37.80013,-76.17466
CB5.4,5/13/1999,1,S ,PH,8.51,SU,37.80013,-76.17466
CB5.4,5/13/1999,1,S ,SALINITY,13.25,PPT,37.80013,-76.17466
CB5.4,5/13/1999,1,S ,WTEMP,18.65,DEG C,37.80013,-76.17466
CB5.4,6/15/1999,1,S ,PH,8.22,SU,37.80013,-76.17466
CB5.4,6/15/1999,1,S ,SALINITY,15.73,PPT,37.80013,-76.17466
CB5.4,6/15/1999,1,S ,WTEMP,22.96,DEG C,37.80013,-76.17466
CB5.4,7/7/1999,1,S ,PH,8.31,SU,37.80013,-76.17466
CB5.4,7/7/1999,1,S ,SALINITY,15.98,PPT,37.80013,-76.17466
CB5.4,7/7/1999,1,S ,WTEMP,28.32,DEG C,37.80013,-76.17466
CB5.4,7/20/1999,1,S ,PH,8.2,SU,37.80013,-76.17466
CB5.4,7/20/1999,1,S ,SALINITY,17.07,PPT,37.80013,-76.17466
CB5.4,7/20/1999,1,S ,WTEMP,26.7,DEG C,37.80013,-76.17466
CB5.4,8/11/1999,1,S ,PH,8.13,SU,37.80013,-76.17466
CB5.4,8/11/1999,1,S ,SALINITY,20.06,PPT,37.80013,-76.17466
CB5.4,8/11/1999,1,S ,WTEMP,27.02,DEG C,37.80013,-76.17466
CB5.4,8/17/1999,1,S ,PH,7.97,SU,37.80013,-76.17466
CB5.4,8/17/1999,1,S ,SALINITY,20.81,PPT,37.80013,-76.17466
CB5.4,8/17/1999,1,S ,WTEMP,27.37,DEG C,37.80013,-76.17466
CB5.4,9/28/1999,1,S ,PH,7.65,SU,37.80013,-76.17466
CB5.4,9/28/1999,1,S ,SALINITY,19.01,PPT,37.80013,-76.17466
CB5.4,9/28/1999,1,S ,WTEMP,21.4,DEG C,37.80013,-76.17466
CB5.4,10/13/1999,1,S ,PH,7.95,SU,37.80013,-76.17466
CB5.4,10/13/1999,1,S ,SALINITY,19.55,PPT,37.80013,-76.17466
CB5.4,10/13/1999,1,S ,WTEMP,19.67,DEG C,37.80013,-76.17466
CB5.4,11/8/1999,1,S ,PH,7.31,SU,37.80013,-76.17466
CB5.4,11/8/1999,1,S ,SALINITY,19.4,PPT,37.80013,-76.17466
CB5.4,11/8/1999,1,S ,WTEMP,14.47,DEG C,37.80013,-76.17466
CB5.4,12/9/1999,1,S ,PH,7.87,SU,37.80013,-76.17466
CB5.4,12/9/1999,1,S ,SALINITY,17.37,PPT,37.80013,-76.17466
CB5.4,12/9/1999,1,S ,WTEMP,9.61,DEG C,37.80013,-76.17466
CB5.4,2/22/2000,1,S ,PH,7.82,SU,37.80013,-76.17466
CB5.4,2/22/2000,1,S ,SALINITY,16.59,PPT,37.80013,-76.17466
CB5.4,2/22/2000,1,S ,WTEMP,4.42,DEG C,37.80013,-76.17466
CB5.4,3/15/2000,1,S ,PH,8.08,SU,37.80013,-76.17466
CB5.4,3/15/2000,1,S ,SALINITY,17.23,PPT,37.80013,-76.17466
CB5.4,3/15/2000,1,S ,WTEMP,8.36,DEG C,37.80013,-76.17466
CB5.4,4/20/2000,1,S ,PH,7.1,SU,37.80013,-76.17466
CB5.4,4/20/2000,1,S ,SALINITY,14.58,PPT,37.80013,-76.17466
CB5.4,4/20/2000,1,S ,WTEMP,12.54,DEG C,37.80013,-76.17466
CB5.4,6/2/2000,1,S ,PH,7.62,SU,37.80013,-76.17466
CB5.4,6/2/2000,1,S ,SALINITY,12.1,PPT,37.80013,-76.17466
CB5.4,6/2/2000,1,S ,WTEMP,19.03,DEG C,37.80013,-76.17466
CB5.4,6/19/2000,1,S ,PH,8.6,SU,37.80013,-76.17466
CB5.4,6/19/2000,1,S ,SALINITY,12.66,PPT,37.80013,-76.17466
CB5.4,6/19/2000,1,S ,WTEMP,24.86,DEG C,37.80013,-76.17466
CB5.4,7/13/2000,1,S ,PH,8.19,SU,37.80013,-76.17466
CB5.4,7/13/2000,1,S ,SALINITY,13.88,PPT,37.80013,-76.17466
CB5.4,7/13/2000,1,S ,WTEMP,25.99,DEG C,37.80013,-76.17466
CB5.4,7/27/2000,1,S ,PH,8.23,SU,37.80013,-76.17466
CB5.4,7/27/2000,1,S ,SALINITY,14.08,PPT,37.80013,-76.17466
CB5.4,7/27/2000,1,S ,WTEMP,24.15,DEG C,37.80013,-76.17466
CB5.4,8/10/2000,1,S ,PH,8.52,SU,37.80013,-76.17466
CB5.4,8/10/2000,1,S ,SALINITY,14.05,PPT,37.80013,-76.17466
CB5.4,8/10/2000,1,S ,WTEMP,27.29,DEG C,37.80013,-76.17466
CB5.4,8/23/2000,1,S ,PH,8.39,SU,37.80013,-76.17466
CB5.4,8/23/2000,1,S ,SALINITY,14.18,PPT,37.80013,-76.17466
CB5.4,8/23/2000,1,S ,WTEMP,24.74,DEG C,37.80013,-76.17466
CB5.4,9/12/2000,1,S ,PH,8.22,SU,37.80013,-76.17466
CB5.4,9/12/2000,1,S ,SALINITY,15.74,PPT,37.80013,-76.17466
CB5.4,9/12/2000,1,S ,WTEMP,24.28,DEG C,37.80013,-76.17466
CB5.4,10/12/2000,1,S ,PH,8.32,SU,37.80013,-76.17466
CB5.4,10/12/2000,1,S ,SALINITY,15.46,PPT,37.80013,-76.17466
CB5.4,10/12/2000,1,S ,WTEMP,17.45,DEG C,37.80013,-76.17466
CB5.4,12/21/2000,1,S ,PH,8.33,SU,37.80013,-76.17466
CB5.4,12/21/2000,1,S ,SALINITY,19.36,PPT,37.80013,-76.17466
CB5.4,12/21/2000,1,S ,WTEMP,5.13,DEG C,37.80013,-76.17466
CB5.4,1/12/2001,1,S ,PH,8.52,SU,37.80013,-76.17466
CB5.4,1/12/2001,1,S ,SALINITY,17.57,PPT,37.80013,-76.17466
CB5.4,1/12/2001,1,S ,WTEMP,1.64,DEG C,37.80013,-76.17466
CB5.4,2/14/2001,1,S ,PH,8.33,SU,37.80013,-76.17466
CB5.4,2/14/2001,1,S ,SALINITY,19.11,PPT,37.80013,-76.17466
CB5.4,2/14/2001,1,S ,WTEMP,4.21,DEG C,37.80013,-76.17466
CB5.4,4/5/2001,1,S ,PH,8.32,SU,37.80013,-76.17466
CB5.4,4/5/2001,1,S ,SALINITY,15.44,PPT,37.80013,-76.17466
CB5.4,4/5/2001,1,S ,WTEMP,8.82,DEG C,37.80013,-76.17466
CB5.4,5/9/2001,1,S ,PH,8.26,SU,37.80013,-76.17466
CB5.4,5/9/2001,1,S ,SALINITY,15.49,PPT,37.80013,-76.17466
CB5.4,5/9/2001,1,S ,WTEMP,16.19,DEG C,37.80013,-76.17466
CB5.4,6/12/2001,1,S ,PH,8.47,SU,37.80013,-76.17466
CB5.4,6/12/2001,1,S ,SALINITY,13.33,PPT,37.80013,-76.17466
CB5.4,6/12/2001,1,S ,WTEMP,23.66,DEG C,37.80013,-76.17466
CB5.4,7/10/2001,1,S ,PH,8.24,SU,37.80013,-76.17466
CB5.4,7/10/2001,1,S ,SALINITY,16.11,PPT,37.80013,-76.17466
CB5.4,7/10/2001,1,S ,WTEMP,25.86,DEG C,37.80013,-76.17466
CB5.4,8/2/2001,1,S ,PH,8.22,SU,37.80013,-76.17466
CB5.4,8/2/2001,1,S ,SALINITY,17.43,PPT,37.80013,-76.17466
CB5.4,8/2/2001,1,S ,WTEMP,24.86,DEG C,37.80013,-76.17466
CB5.4,8/15/2001,1,S ,PH,7.37,SU,37.80013,-76.17466
CB5.4,8/15/2001,1,S ,SALINITY,16.83,PPT,37.80013,-76.17466
CB5.4,8/15/2001,1,S ,WTEMP,27.21,DEG C,37.80013,-76.17466
CB5.4,8/28/2001,1,S ,PH,7.23,SU,37.80013,-76.17466
CB5.4,8/28/2001,1,S ,SALINITY,16.11,PPT,37.80013,-76.17466
CB5.4,8/28/2001,1,S ,WTEMP,26.15,DEG C,37.80013,-76.17466
CB5.4,9/19/2001,1,S ,PH,7.85,SU,37.80013,-76.17466
CB5.4,9/19/2001,1,S ,SALINITY,18.35,PPT,37.80013,-76.17466
CB5.4,9/19/2001,1,S ,WTEMP,23.45,DEG C,37.80013,-76.17466
CB5.4,10/19/2001,1,S ,PH,7.03,SU,37.80013,-76.17466
CB5.4,10/19/2001,1,S ,SALINITY,20.05,PPT,37.80013,-76.17466
CB5.4,10/19/2001,1,S ,WTEMP,17.61,DEG C,37.80013,-76.17466
CB5.4,11/16/2001,1,S ,PH,8,SU,37.80013,-76.17466
CB5.4,11/16/2001,1,S ,SALINITY,19.12,PPT,37.80013,-76.17466
CB5.4,11/16/2001,1,S ,WTEMP,13.32,DEG C,37.80013,-76.17466
CB5.4,1/15/2002,1,S ,PH,7.17,SU,37.80013,-76.17466
CB5.4,1/15/2002,1,S ,SALINITY,20.02,PPT,37.80013,-76.17466
CB5.4,1/15/2002,1,S ,WTEMP,5.61,DEG C,37.80013,-76.17466
CB5.4,2/19/2002,1,S ,PH,7.91,SU,37.80013,-76.17466
CB5.4,2/19/2002,1,S ,SALINITY,20.87,PPT,37.80013,-76.17466
CB5.4,2/19/2002,1,S ,WTEMP,6.23,DEG C,37.80013,-76.17466
CB5.4,4/24/2002,1,S ,PH,8.36,SU,37.80013,-76.17466
CB5.4,4/24/2002,1,S ,SALINITY,18.73,PPT,37.80013,-76.17466
CB5.4,4/24/2002,1,S ,WTEMP,15.82,DEG C,37.80013,-76.17466
CB5.4,5/22/2002,1,S ,PH,8.29,SU,37.80013,-76.17466
CB5.4,5/22/2002,1,S ,SALINITY,16.14,PPT,37.80013,-76.17466
CB5.4,5/22/2002,1,S ,WTEMP,18.1,DEG C,37.80013,-76.17466
CB5.4,6/19/2002,1,S ,PH,8.31,SU,37.80013,-76.17466
CB5.4,6/19/2002,1,S ,SALINITY,15.14,PPT,37.80013,-76.17466
CB5.4,6/19/2002,1,S ,WTEMP,24.58,DEG C,37.80013,-76.17466
CB5.4,7/17/2002,1,S ,PH,8.5,SU,37.80013,-76.17466
CB5.4,7/17/2002,1,S ,SALINITY,16.33,PPT,37.80013,-76.17466
CB5.4,7/17/2002,1,S ,WTEMP,28.24,DEG C,37.80013,-76.17466
CB5.4,7/30/2002,1,S ,PH,8.02,SU,37.80013,-76.17466
CB5.4,7/30/2002,1,S ,SALINITY,16.99,PPT,37.80013,-76.17466
CB5.4,7/30/2002,1,S ,WTEMP,28.2,DEG C,37.80013,-76.17466
CB5.4,8/13/2002,1,S ,PH,8.05,SU,37.80013,-76.17466
CB5.4,8/13/2002,1,S ,SALINITY,18.79,PPT,37.80013,-76.17466
CB5.4,8/13/2002,1,S ,WTEMP,27.4,DEG C,37.80013,-76.17466
CB5.4,9/6/2002,1,S ,PH,8.16,SU,37.80013,-76.17466
CB5.4,9/6/2002,1,S ,SALINITY,20.25,PPT,37.80013,-76.17466
CB5.4,9/6/2002,1,S ,WTEMP,25.2,DEG C,37.80013,-76.17466
CB5.4,9/17/2002,1,S ,PH,7.82,SU,37.80013,-76.17466
CB5.4,9/17/2002,1,S ,SALINITY,19.37,PPT,37.80013,-76.17466
CB5.4,9/17/2002,1,S ,WTEMP,24.67,DEG C,37.80013,-76.17466
CB5.4,11/25/2002,1,S ,PH,8.04,SU,37.80013,-76.17466
CB5.4,11/25/2002,1,S ,SALINITY,19.06,PPT,37.80013,-76.17466
CB5.4,11/25/2002,1,S ,WTEMP,11.2,DEG C,37.80013,-76.17466
CB5.4,2/11/2003,1,S ,PH,8.31,SU,37.80013,-76.17466
CB5.4,2/11/2003,1,S ,SALINITY,14.66,PPT,37.80013,-76.17466
CB5.4,2/11/2003,1,S ,WTEMP,1.22,DEG C,37.80013,-76.17466
CB5.4,4/15/2003,1,S ,PH,8.66,SU,37.80013,-76.17466
CB5.4,4/15/2003,1,S ,SALINITY,10.44,PPT,37.80013,-76.17466
CB5.4,4/15/2003,1,S ,WTEMP,10.05,DEG C,37.80013,-76.17466
CB5.4,5/6/2003,1,S ,PH,8.31,SU,37.80013,-76.17466
CB5.4,5/6/2003,1,S ,SALINITY,11.49,PPT,37.80013,-76.17466
CB5.4,5/6/2003,1,S ,WTEMP,14.54,DEG C,37.80013,-76.17466
CB5.4,6/17/2003,1,S ,PH,8.39,SU,37.80013,-76.17466
CB5.4,6/17/2003,1,S ,SALINITY,14.11,PPT,37.80013,-76.17466
CB5.4,6/17/2003,1,S ,WTEMP,21.96,DEG C,37.80013,-76.17466
CB5.4,7/7/2003,1,S ,PH,8.68,SU,37.80013,-76.17466
CB5.4,7/7/2003,1,S ,SALINITY,9.549,PPT,37.80013,-76.17466
CB5.4,7/7/2003,1,S ,WTEMP,27.5,DEG C,37.80013,-76.17466
CB5.4,8/6/2003,1,S ,PH,8.05,SU,37.80013,-76.17466
CB5.4,8/6/2003,1,S ,SALINITY,13.27,PPT,37.80013,-76.17466
CB5.4,8/6/2003,1,S ,WTEMP,25.86,DEG C,37.80013,-76.17466
CB5.4,8/19/2003,1,S ,PH,8.41,SU,37.80013,-76.17466
CB5.4,8/19/2003,1,S ,SALINITY,12.26,PPT,37.80013,-76.17466
CB5.4,8/19/2003,1,S ,WTEMP,27.23,DEG C,37.80013,-76.17466
CB5.4,10/28/2003,1,S ,PH,8.21,SU,37.80013,-76.17466
CB5.4,10/28/2003,1,S ,SALINITY,14.92,PPT,37.80013,-76.17466
CB5.4,10/28/2003,1,S ,WTEMP,16.34,DEG C,37.80013,-76.17466
CB5.4,11/17/2003,1,S ,PH,8.36,SU,37.80013,-76.17466
CB5.4,11/17/2003,1,S ,SALINITY,13.56,PPT,37.80013,-76.17466
CB5.4,11/17/2003,1,S ,WTEMP,12.92,DEG C,37.80013,-76.17466
CB5.4,12/16/2003,1,S ,PH,8.42,SU,37.80013,-76.17466
CB5.4,12/16/2003,1,S ,SALINITY,11.48,PPT,37.80013,-76.17466
CB5.4,12/16/2003,1,S ,WTEMP,6.76,DEG C,37.80013,-76.17466
CB5.4,2/19/2004,1,S ,PH,8.09,SU,37.80013,-76.17466
CB5.4,2/19/2004,1,S ,SALINITY,11,PPT,37.80013,-76.17466
CB5.4,2/19/2004,1,S ,WTEMP,2.22,DEG C,37.80013,-76.17466
CB5.4,3/17/2004,1,S ,PH,7.89,SU,37.80013,-76.17466
CB5.4,3/17/2004,1,S ,SALINITY,13.58,PPT,37.80013,-76.17466
CB5.4,3/17/2004,1,S ,WTEMP,6.38,DEG C,37.80013,-76.17466
CB5.4,4/21/2004,1,S ,PH,8.21,SU,37.80013,-76.17466
CB5.4,4/21/2004,1,S ,SALINITY,10.81,PPT,37.80013,-76.17466
CB5.4,4/21/2004,1,S ,WTEMP,12.71,DEG C,37.80013,-76.17466
CB5.4,5/11/2004,1,S ,PH,8.26,SU,37.80013,-76.17466
CB5.4,5/11/2004,1,S ,SALINITY,11.79,PPT,37.80013,-76.17466
CB5.4,5/11/2004,1,S ,WTEMP,17.47,DEG C,37.80013,-76.17466
CB5.4,6/8/2004,1,S ,PH,8.42,SU,37.80013,-76.17466
CB5.4,6/8/2004,1,S ,SALINITY,10.62,PPT,37.80013,-76.17466
CB5.4,6/8/2004,1,S ,WTEMP,22.53,DEG C,37.80013,-76.17466
CB5.4,6/22/2004,1,S ,PH,8.52,SU,37.80013,-76.17466
CB5.4,6/22/2004,1,S ,SALINITY,13.74,PPT,37.80013,-76.17466
CB5.4,6/22/2004,1,S ,WTEMP,24.59,DEG C,37.80013,-76.17466
CB5.4,7/7/2004,1,S ,PH,8.54,SU,37.80013,-76.17466
CB5.4,7/7/2004,1,S ,SALINITY,13.64,PPT,37.80013,-76.17466
CB5.4,7/7/2004,1,S ,WTEMP,26.96,DEG C,37.80013,-76.17466
CB5.4,7/20/2004,1,S ,PH,8.55,SU,37.80013,-76.17466
CB5.4,7/20/2004,1,S ,SALINITY,13.45,PPT,37.80013,-76.17466
CB5.4,7/20/2004,1,S ,WTEMP,26.73,DEG C,37.80013,-76.17466
CB5.4,8/24/2004,1,S ,PH,8.21,SU,37.80013,-76.17466
CB5.4,8/24/2004,1,S ,SALINITY,14.79,PPT,37.80013,-76.17466
CB5.4,8/24/2004,1,S ,WTEMP,25.39,DEG C,37.80013,-76.17466
CB5.4,9/21/2004,1,S ,PH,8.02,SU,37.80013,-76.17466
CB5.4,9/21/2004,1,S ,SALINITY,12.65,PPT,37.80013,-76.17466
CB5.4,9/21/2004,1,S ,WTEMP,23.11,DEG C,37.80013,-76.17466
CB5.4,11/10/2004,1,S ,PH,8.21,SU,37.80013,-76.17466
CB5.4,11/10/2004,1,S ,SALINITY,14.32,PPT,37.80013,-76.17466
CB5.4,11/10/2004,1,S ,WTEMP,14.47,DEG C,37.80013,-76.17466
CB5.4,12/6/2004,1,S ,PH,8.32,SU,37.80013,-76.17466
CB5.4,12/6/2004,1,S ,SALINITY,14.05,PPT,37.80013,-76.17466
CB5.4,12/6/2004,1,S ,WTEMP,10.59,DEG C,37.80013,-76.17466
CB5.4,1/13/2005,1,S ,PH,8.43,SU,37.80013,-76.17466
CB5.4,1/13/2005,1,S ,SALINITY,10.52,PPT,37.80013,-76.17466
CB5.4,1/13/2005,1,S ,WTEMP,6.31,DEG C,37.80013,-76.17466
CB5.4,2/15/2005,1,S ,PH,8,SU,37.80013,-76.17466
CB5.4,2/15/2005,1,S ,SALINITY,10.61,PPT,37.80013,-76.17466
CB5.4,2/15/2005,1,S ,WTEMP,3.14,DEG C,37.80013,-76.17466
CB5.4,3/14/2005,1,S ,PH,8.25,SU,37.80013,-76.17466
CB5.4,3/14/2005,1,S ,SALINITY,12.83,PPT,37.80013,-76.17466
CB5.4,3/14/2005,1,S ,WTEMP,4.82,DEG C,37.80013,-76.17466
CB5.4,4/6/2005,1,S ,PH,8.35,SU,37.80013,-76.17466
CB5.4,4/6/2005,1,S ,SALINITY,10.25,PPT,37.80013,-76.17466
CB5.4,4/6/2005,1,S ,WTEMP,9.35,DEG C,37.80013,-76.17466
CB5.4,5/10/2005,1,S ,PH,8.54,SU,37.80013,-76.17466
CB5.4,5/10/2005,1,S ,SALINITY,11.01,PPT,37.80013,-76.17466
CB5.4,5/10/2005,1,S ,WTEMP,14.21,DEG C,37.80013,-76.17466
CB5.4,6/14/2005,1,S ,PH,8.47,SU,37.80013,-76.17466
CB5.4,6/14/2005,1,S ,SALINITY,12.97,PPT,37.80013,-76.17466
CB5.4,6/14/2005,1,S ,WTEMP,25.01,DEG C,37.80013,-76.17466
CB5.4,6/28/2005,1,S ,PH,8.41,SU,37.80013,-76.17466
CB5.4,6/28/2005,1,S ,SALINITY,12.72,PPT,37.80013,-76.17466
CB5.4,6/28/2005,1,S ,WTEMP,24.7,DEG C,37.80013,-76.17466
CB5.4,7/12/2005,1,S ,PH,8.41,SU,37.80013,-76.17466
CB5.4,7/12/2005,1,S ,SALINITY,12.81,PPT,37.80013,-76.17466
CB5.4,7/12/2005,1,S ,WTEMP,26.53,DEG C,37.80013,-76.17466
CB5.4,7/26/2005,1,S ,PH,8.36,SU,37.80013,-76.17466
CB5.4,7/26/2005,1,S ,SALINITY,12.95,PPT,37.80013,-76.17466
CB5.4,7/26/2005,1,S ,WTEMP,30.28,DEG C,37.80013,-76.17466
CB5.4,8/9/2005,1,S ,PH,8.36,SU,37.80013,-76.17466
CB5.4,8/9/2005,1,S ,SALINITY,15.39,PPT,37.80013,-76.17466
CB5.4,8/9/2005,1,S ,WTEMP,28.68,DEG C,37.80013,-76.17466
CB5.4,8/23/2005,1,S ,PH,8.14,SU,37.80013,-76.17466
CB5.4,8/23/2005,1,S ,SALINITY,16.09,PPT,37.80013,-76.17466
CB5.4,8/23/2005,1,S ,WTEMP,28.1,DEG C,37.80013,-76.17466
CB5.4,9/19/2005,1,S ,PH,8.22,SU,37.80013,-76.17466
CB5.4,9/19/2005,1,S ,SALINITY,16.64,PPT,37.80013,-76.17466
CB5.4,9/19/2005,1,S ,WTEMP,27.17,DEG C,37.80013,-76.17466
CB5.4,10/20/2005,1,S ,PH,8.09,SU,37.80013,-76.17466
CB5.4,10/20/2005,1,S ,SALINITY,17.56,PPT,37.80013,-76.17466
CB5.4,10/20/2005,1,S ,WTEMP,19.61,DEG C,37.80013,-76.17466
CB5.4,11/15/2005,1,S ,PH,8.29,SU,37.80013,-76.17466
CB5.4,11/15/2005,1,S ,SALINITY,17.43,PPT,37.80013,-76.17466
CB5.4,11/15/2005,1,S ,WTEMP,14.66,DEG C,37.80013,-76.17466
CB5.4,1/11/2006,1,S ,PH,8.39,SU,37.80013,-76.17466
CB5.4,1/11/2006,1,S ,SALINITY,14.04,PPT,37.80013,-76.17466
CB5.4,1/11/2006,1,S ,WTEMP,5.84,DEG C,37.80013,-76.17466
CB5.4,3/8/2006,1,S ,PH,8.22,SU,37.80013,-76.17466
CB5.4,3/8/2006,1,S ,SALINITY,13.84,PPT,37.80013,-76.17466
CB5.4,3/8/2006,1,S ,WTEMP,4.96,DEG C,37.80013,-76.17466
CB5.4,4/6/2006,1,S ,PH,8.34,SU,37.80013,-76.17466
CB5.4,4/6/2006,1,S ,SALINITY,14.2,PPT,37.80013,-76.17466
CB5.4,4/6/2006,1,S ,WTEMP,10.2,DEG C,37.80013,-76.17466
CB5.4,5/24/2006,1,S ,PH,8.47,SU,37.80013,-76.17466
CB5.4,5/24/2006,1,S ,SALINITY,15.1,PPT,37.80013,-76.17466
CB5.4,5/24/2006,1,S ,WTEMP,18.37,DEG C,37.80013,-76.17466
CB5.4,6/6/2006,1,S ,PH,8.41,SU,37.80013,-76.17466
CB5.4,6/6/2006,1,S ,SALINITY,15.45,PPT,37.80013,-76.17466
CB5.4,6/6/2006,1,S ,WTEMP,22.34,DEG C,37.80013,-76.17466
CB5.4,6/20/2006,1,S ,PH,8.32,SU,37.80013,-76.17466
CB5.4,6/20/2006,1,S ,SALINITY,15.97,PPT,37.80013,-76.17466
CB5.4,6/20/2006,1,S ,WTEMP,23.46,DEG C,37.80013,-76.17466
CB5.4,7/11/2006,1,S ,PH,8.1,SU,37.80013,-76.17466
CB5.4,7/11/2006,1,S ,SALINITY,14.81,PPT,37.80013,-76.17466
CB5.4,7/11/2006,1,S ,WTEMP,25.58,DEG C,37.80013,-76.17466
CB5.4,7/25/2006,1,S ,PH,8.38,SU,37.80013,-76.17466
CB5.4,7/25/2006,1,S ,SALINITY,14.2,PPT,37.80013,-76.17466
CB5.4,7/25/2006,1,S ,WTEMP,27.36,DEG C,37.80013,-76.17466
CB5.4,8/16/2006,1,S ,PH,8.22,SU,37.80013,-76.17466
CB5.4,8/16/2006,1,S ,SALINITY,14.43,PPT,37.80013,-76.17466
CB5.4,8/16/2006,1,S ,WTEMP,26.79,DEG C,37.80013,-76.17466
CB5.4,8/29/2006,1,S ,PH,8.13,SU,37.80013,-76.17466
CB5.4,8/29/2006,1,S ,SALINITY,16.43,PPT,37.80013,-76.17466
CB5.4,8/29/2006,1,S ,WTEMP,27.17,DEG C,37.80013,-76.17466
CB5.4,9/19/2006,1,S ,PH,8.18,SU,37.80013,-76.17466
CB5.4,9/19/2006,1,S ,SALINITY,16.28,PPT,37.80013,-76.17466
